nom;prenom;identifiant_lc;domaine
Kipling;Rudyard;PR4850-4858;litterature
La Fontaine, de;Jean;[PQ1806-1812];litterature
Laforgue;Jules;PQ2323.L8;litterature
Lamartine, de;Alphonse;[PQ2325-2329];litterature
Laretta;Enrique;PQ7797.L28;litterature
Larguier;Léo César Albin;PQ2623.A653 A8 1928;litterature
Larousse;Piere;PC2111 .L54 1878;litterature
Lauris, de;George;PQ2623.A87 G5 1921;litterature
Lautréamont;;PQ2220 .D723;litterature
Léautaud;Paul;PQ2623.E14;litterature
Legouvé;Ernest;PQ2337.L23;litterature
Lemaître;Jules;PQ2337.L3;litterature
Lemonnier;Camille;PQ2337.L4;litterature
Lepelletier;Edmond;PQ2337.L5;litterature
Leroux;Gaston;PQ2623.E6;litterature
Levey;Jean-Marie;PQ2623.E914 C37 1993;litterature
Lorrain;Jean;PQ2235.D93;litterature
Loti;Pierre;(PQ2339);litterature
Louÿs;Pierre;PQ2623.O8;litterature
Lovecraft;Howard Philips;PS3523.O833;litterature
Loyson;Paul-Hyacinthe;PQ2623.O9;litterature
Lugné-Poe;Aurélien-Marie;PN2636.P3 L88;litterature
Maeterlinck;Maurice;[PQ2625.A3-.A61];litterature
Maigron;Louis;PQ287 .M3 1977;litterature
Maizeroy;René;PQ2452.T6 M3 1880;litterature
Mallarmé;Stéphane;PQ2344;litterature
Mann;Thomas;PT2625.A44;litterature
Margueritte;Paul;PQ2347.M32;litterature
Margueritte;Victor;PQ2347.M33;litterature
Marie;Aristide;PQ2625.A78715 F6 1936;litterature
Massis;Henri;PQ2631. R63 Z75;litterature
Maupassant, de;Guy;PQ2349-2358;litterature
Mazé;Jules;DC136 .M38;litterature
Mérimée;Prosper;PQ2362;litterature
Méry;Joseph;PQ2364.M2;litterature
Michel;Louise;PQ2364.M366;litterature
Michelet;Jules;PQ2364.M37;litterature
Michelet;Athénaïs Marguerite;PQ2364.M371;litterature
Mirbeau;Octave;PQ2364.M7;litterature
Mockel;Albert;PQ2366.M25;litterature
Monfreid, de;Henry;PQ2625.O32 E8 1965;litterature
Monselet;Charles;PQ2366.M5;litterature
Montagne;Edouard;PQ2366.M72 F4 1885;litterature
Montesquiou, de;Robert;PQ2625.O39;litterature
Moore;George Edward;PR5040-5044;litterature
Moréas;Jean;PQ2367.M3;litterature
Morello;Vincenzo;DD240 .M6;litterature
