classe;cote_range;description
NE;NE1350-1352;Other materials used in relief printing
ND;ND25-(48);General
N;N8510-8553;Art studios, materials, etc.
NA;NA2335-2360;Competitions
NC;NC1920-1940;Copying, enlarging, and reduction of drawings
NK;NK1505-1535;General works
NA;NA4100-8480;Special classes of buildings
NB;NB1-1952;Sculpture
NB;NB1293-1310;Portrait sculpture
NK;NK2975-3049;Tapestries
N;N5300-7418;History
NX;NX775-777;Voluntarism in the arts
ND;ND1470-1625;Technique and materials
NA;NA1995;Architecture as a profession
N;N8600-8675;Economics of art
N;N8350-8356;Art as a profession.  Artists
NK;NK 1175-(1498);History
NC;NC673-677;Competitions
NK;NK3700-4695;Ceramics
NX;NX760-770;Administration of the arts
NE;NE390-395;Collected works
NA;NA2835-4050;Details and decoration
NB;NB1203-1270;Special materials
NE;NE1-90;General
NC;NC1280-1284;Printed ephemera.  Imagerie populaire
NA;NA4590-5621;Religious architecture
NA;NA190-1555.5;History
NK;NK1160-1590;Decoration and ornament.  Design
NB;NB1160-1195;Designs and technique
NE;NE1330-1336;Linoleum block prints
NE;NE1000-1352;Wood engraving
N;N81-390;Study and teaching.  Research
NE;NE400-773;History of printmaking
ND;ND1410-1460;Other subjects
NE;NE1400-1422;General
NK;NK9600-9955;Woodwork
NA;NA 2599.5-2599.9;Architectural criticism
NE;NE1-3002;Print media
NE;NE2120-2140;General works
NE;NE1620-1630;General works
NC;NC1-1940;Drawing.  Design.  Illustration
NK;NK 3600-(9990);Other arts and art industries
NK;NK1648-1678;Religious art
NA;NA7100-7884;Domestic architecture.  Houses.  Dwellings
NK;NK2140-2180;Decorative painting
NE;NE1940-1975;General
ND;ND1400-1403;Flowers.  Fruit.  Trees
NC;NC930;Conservation and restoration of drawings
NE;NE1400-1879;Metal engraving
NE;NE1030-1196.3;History
ND;ND2889-3416;Illuminating of manuscripts and books
NB;NB1120-1133;Study and teaching
NX;NX420-430;Exhibitions
NK;NK1548-1590;Special subjects for design
ND;ND2550-2733;Mural painting
NK;NK600-806;History
N;N1-(9211);Visual arts
ND;ND1130-1156;General works
NE;NE2250-2570;Lithography
NB;NB1199-1200;Restoration of sculptures
NA;NA2500-2599;General works
ND;ND1300-1337;Portraits
NE;NE1340;Fish prints
NK;NK1700-2195;Interior decoration.  House decoration
NA;NA9000-9428;Aesthetics of cities.  City planning and beautifying
NE;NE2141-2149;Special subjects
NE;NE1940-2232.5;Etching and aquatint
NA;NA7910-8125;Clubhouses, guild houses, etc.
NA;NA1-9428;Architecture
N;N8554-8585;Examination and conservation of works of art
ND;ND1700-2495;Watercolor painting
NA;NA2400-2460;Museums.  Exhibitions
NK;NK2200-2750;Furniture
NA;NA8300-8480;Outbuildings, gates, fences, etc.
ND;ND1370-1375;Marine painting
NX;NX411-415;Competitions
NB;NB1330-1685;Sculptural monuments
NC;NC1300-1766;Pictorial humor, caricature, etc.
ND;ND1288-1460;Special subjects
NE;NE2220-2225;Dry point
NK;NK5500-6060;Glyptic arts
NA;NA4100-4145;Classed by material
NK;NK1160-1174;General
NK;NK4700-4890;Costume
NC;NC730-758;Technique
ND;ND1290-1293;Human figure
NK;NK8800-9505.5;Textiles
N;N7560-8266;Special subjects of art
NC;NC390-670;Study and teaching
NB;NB1800-1880;Sepulchral monuments
NA;NA4150-4160;Classed by form
NB;NB1-50;General
NA;NA8200-8260;Farm architecture
NX;NX798-820;Arts centers and facilitiesLIBRARY OF CONGRESS CLASSIFICATION OUTLINE
NE;NE951-962;Special subjects
ND;ND1390-1393;Still life
NX;NX700-750;Patronage of the arts
NA;NA1-60;General
NE;NE1-978;Printmaking and engraving
N;N7420-7525.8;General works
NE;NE975-975.4;Competitions
NB;NB1272-1291;Mobiles, color, sculpture gardens, etc.
NE;NE1310-1326.5;Japanese prints
N;N5198-5299;Private collections and collectors
NK;NK3175-3296.3;Upholstery.  Drapery
NE;NE1220-1233;General works
NK;NK1-570;General
NE;NE2236-2240.6;Serigraphy
NE;NE1344-1345;Potato prints
NC;NC845-915;Graphic art materials
N;N61-72;Theory.  Philosophy.  Aesthetics of the visual arts
NC;NC1860-1896;Greeting cards, postcards, invitations, book jackets, etc.
ND;ND1380-1383;Animals.  Birds
NC;NC50-266;History of drawing
NB;NB1293-1895;Special forms
ND;ND1385-1388;Sports.  Hunting, fishing, etc.
NE;NE1850-1879;Color prints
NE;NE1634-1749;History
NE;NE380;Conservation and restoration of prints
NC;NC703-725;General works
NE;NE 218-(330);Engraved portraits.  Self-portraits
NK;NK6400-8459;Metalwork
NK;NK5100-5440;Glass
NB;NB1750-1793;Religious monuments and shrines
N;N400-3990;Art museums, galleries, etc.
NK;NK1700-2138;General.  History, etc.
NC;NC1-45;General
NA;NA4170-8480;Classed by use
NC;NC1800-1850;Posters
ND;ND49-813;History
NX;NX440-632;History of the arts
NC;NC760-825;Special subjects
N;N8700-9165;Art and the state.  Public art
NE;NE970-973;Study and teaching
NX;NX1-260;General
NX;NX1-820;Arts in general
NK;NK1-(9990);Decorative arts
NE;NE2690;Engraving on glass
NB;NB60-1115;History
NB;NB1134-1134.4;Competitions
NC;NC950-(996);Illustration
NK;NK1135-1149.5;Arts and crafts movement
NC;NC997-1003;Commercial art.  Advertising art
NA;NA2695-2793;Architectural drawing and design
N;N1-58;General
NB;NB1312-1313;Equestrian statues
NK;NK2775-2898;Rugs and carpets
NE;NE2242-2246;Monotype (Printmaking)
ND;ND1630-1662;Examination and conservation of paintings
NE;NE1750-1775;Copper engraving
NA;NA100-130;Architecture and the state
NA;NA2000-2320;Study and teaching.  Research
NE;NE2685-2685.8;Lumiprints
NA;NA4170-(7020);Public buildings
PN;PN4071-4095;Study and teaching
PN;PN6361;Paradoxes
PN;PN2152-2160;Medieval
PN;PN4699-5650;Journalism.  The periodical press, etc.
PN;PN4199-4321;Recitations (in English)
PN;PN1560-1590;The performing arts.  Show business
PN;PN6244-6246;Literary extracts.  Commonplace books
PN;PN1065-1085;Relations to, and treatment of, special subjects
PN;PN980-995;Fables
PN;PN1551;The dialogue
PN;PN6141-6145;Essays
PN;PN6130-6140;Letters
PN;PN3427-3448;Special kinds of fiction.  Fiction genres
PN;PN1990-1992.92;Broadcasting
PN;PN6700-6790;Comic books, strips, etc.
PN;PN241-241.5;Translating as a literary pursuit
PN;PN6110.5-6120;Drama
PN;PN3311-3503;Prose.  Prose fiction
PN;PN6299-6308;Maxims
PN;PN695-779;Modern
PN;PN2131-2193;By period
PN;PN2085-2091;The stage and accessories
PN;PN6233-6238;Anacreontic literature
PN;PN6269-6278;Aphorisms.  Apothegms
PN;PN6348.5-6358;Emblems, devices
PN;PN6319-6328;Sayings, bon mots, etc.
PN;PN4400;Letters (Literary history)
PN;PN1992-1992.92;Television broadcasts
PN;PN6099-6110;Poetry
PN;PN2171-2179;Renaissance
PN;PN6288.5-6298;Epitaphs
PN;PN101-245;Authorship
PN;PN661-694;Medieval (to 1500)
PN;PN6080-6095;Quotations
PN;PN6146.5-6231;Wit and humor
PN;PN6400-6525;Proverbs
PN;PN2131-2145;Ancient
PN;PN5650;The Jewish press
PN;PN451-497;Biography
PN;PN4775-4784;Technique.  Practical journalism
PN;PN6249-6258;Ana
PN;PN4500;Essays (Literary history)
PN;PN45-57;Theory.  Philosophy.  Esthetics
PN;PN6121-6129;Orations
PN;PN1660-1693;Technique of dramatic composition
PN;PN6366-6377;Riddles, acrostics, charades, conundrums, etc.
PN;PN59-72;Study and teaching
PN;PN688-691;Poetry
PN;PN1991-1991.9;Radio broadcasts
PN;PN2000-3307;Dramatic representation.  The theater
PN;PN2219.3-3030;Special regions or countries
PN;PN6279-6288;Epigrams
PN;PN4735-4748;Relation to the state.  Government and the press.  Liberty of the
PN;PN1635-1650;Relation to, and treatment of, special subjects
PN;PN6157-6222;By region or country
PN;PN6090-6110;German
PN;PN4832-4836;Magazines and other periodicals
PN;PN4001-4355;Oratory.  Elocution, etc.
PN;PN851-(884);Comparative literature
PN;PN1997-1997.85;Plays, scenarios, etc.
PN;PN172-239;Technique.  Literary composition, etc.
PN;PN1530;The monologue
PN;PN1993-1999;Motion pictures
PN;PN2061-2071;Art of acting
PN;PN1341-1347;Folk poetry
PN;PN4840-5648;By region or country
PN;PN4825-4830;Amateur journalism
PN;PN1-9;Periodicals
